0.4300000000000002-2,"{'C': 0.15054758107389687, 'gamma': 0.8790909090909091}"
0.4300000000000002-3,"{'C': 4.08909090909091, 'gamma': 0.01683732057416268}"
0.4300000000000002-4,"{'C': 4.534545454545455, 'gamma': 0.05250717703349283}"
0.4400000000000002-0,"{'C': 1.6638383838383841, 'gamma': 0.10296172248803828}"
0.4400000000000002-1,"{'C': 4.258628389154705, 'gamma': 0.005392344497607656}"
0.4400000000000002-2,"{'C': 0.14423179160021268, 'gamma': 0.7706315789473684}"
0.4400000000000002-3,"{'C': 4.287070707070708, 'gamma': 0.007497607655502392}"
0.4400000000000002-4,"{'C': 4.584040404040405, 'gamma': 0.040311004784689006}"
0.45000000000000023-0,"{'C': 2.0103030303030307, 'gamma': 0.10085645933014356}"
0.45000000000000023-1,"{'C': 0.3274747474747475, 'gamma': 0.06470334928229665}"
0.45000000000000023-2,"{'C': 0.5254545454545455, 'gamma': 0.022234449760765548}"
0.45000000000000023-3,"{'C': 1.7965124933545988, 'gamma': 0.11094736842105263}"
0.45000000000000023-4,"{'C': 0.19372674109516216, 'gamma': 0.07479425837320575}"
0.46000000000000024-0,"{'C': 2.0103030303030307, 'gamma': 0.072688995215311}"
0.46000000000000024-1,"{'C': 0.133705475810739, 'gamma': 0.24379904306220096}"
0.46000000000000024-2,"{'C': 4.865199362041467, 'gamma': 0.10884210526315789}"
0.46000000000000024-3,"{'C': 3.0991919191919197, 'gamma': 0.032325358851674646}"
0.46000000000000024-4,"{'C': 2.257777777777778, 'gamma': 0.04241626794258374}"
0.47000000000000025-0,"{'C': 1.267878787878788, 'gamma': 0.09033014354066987}"
0.47000000000000025-1,"{'C': 4.237575757575758, 'gamma': 0.02811483253588517}"
0.47000000000000025-2,"{'C': 0.10736842105263159, 'gamma': 0.12060287081339711}"
0.47000000000000025-3,"{'C': 4.08909090909091, 'gamma': 0.024339712918660283}"
0.47000000000000025-4,"{'C': 2.8274853801169595, 'gamma': 0.02012918660287081}"
0.48000000000000026-0,"{'C': 0.9235194045720362, 'gamma': 0.3913875598086125}"
0.48000000000000026-1,"{'C': 1.5153535353535357, 'gamma': 0.021799043062200957}"
0.48000000000000026-2,"{'C': 0.48648591174906974, 'gamma': 0.5545119617224881}"
0.48000000000000026-3,"{'C': 1.0309303561935144, 'gamma': 0.09287081339712919}"
0.48000000000000026-4,"{'C': 4.138585858585859, 'gamma': 0.018023923444976074}"
0.49000000000000027-0,"{'C': 3.798437001594897, 'gamma': 0.09076555023923447}"
0.49000000000000027-1,"{'C': 0.5117490696438066, 'gamma': 0.05417703349282297}"
0.49000000000000027-2,"{'C': 0.3569484316852738, 'gamma': 0.3304066985645933}"
0.49000000000000027-3,"{'C': 3.544646464646465, 'gamma': 0.022234449760765548}"
0.49000000000000027-4,"{'C': 0.772929292929293, 'gamma': 0.072688995215311}"
0.5000000000000002-0,"{'C': 0.7234343434343434, 'gamma': 0.032325358851674646}"
0.5000000000000002-1,"{'C': 1.8270600744284957, 'gamma': 0.02012918660287081}"
0.5000000000000002-2,"{'C': 0.277979797979798, 'gamma': 0.4523684210526316}"
0.5000000000000002-3,"{'C': 4.213343965975545, 'gamma': 0.010502392344497607}"
0.5000000000000002-4,"{'C': 0.10736842105263159, 'gamma': 0.15254545454545457}"
0.5100000000000002-0,"{'C': 4.6830303030303035, 'gamma': 0.05250717703349283}"
0.5100000000000002-1,"{'C': 0.178989898989899, 'gamma': 0.98}"
0.5100000000000002-2,"{'C': 0.1400212652844232, 'gamma': 0.7319377990430622}"
0.5100000000000002-3,"{'C': 0.6760446570972887, 'gamma': 0.08277990430622009}"
0.5100000000000002-4,"{'C': 0.2453269537480064, 'gamma': 0.05461244019138757}"
0.5200000000000002-0,"{'C': 4.831515151515152, 'gamma': 0.04154545454545455}"
0.5200000000000002-1,"{'C': 1.3879213184476344, 'gamma': 0.05250717703349283}"
0.5200000000000002-2,"{'C': 0.7118341307814993, 'gamma': 0.07856937799043062}"
0.5200000000000002-3,"{'C': 1.573269537480064, 'gamma': 0.032325358851674646}"
0.5200000000000002-4,"{'C': 2.410473152578416, 'gamma': 0.030220095693779907}"
0.5300000000000002-0,"{'C': 2.2082828282828286, 'gamma': 0.12314354066985647}"
0.5300000000000002-1,"{'C': 0.1400212652844232, 'gamma': 0.6848947368421053}"
0.5300000000000002-2,"{'C': 0.13160021265284427, 'gamma': 0.8766220095693781}"
0.5300000000000002-3,"{'C': 2.1282402977139823, 'gamma': 0.02012918660287081}"
0.5300000000000002-4,"{'C': 2.05979797979798, 'gamma': 0.02012918660287081}"
0.5400000000000003-0,"{'C': 3.544646464646465, 'gamma': 0.072688995215311}"
0.5400000000000003-1,"{'C': 0.18741095162147794, 'gamma': 0.1710574162679426}"
0.5400000000000003-2,"{'C': 2.1198192450824034, 'gamma': 0.010502392344497607}"
0.5400000000000003-3,"{'C': 1.7944072301967042, 'gamma': 0.04619138755980862}"
0.5400000000000003-4,"{'C': 0.2948219032429559, 'gamma': 0.6491052631578947}"
0.5500000000000003-0,"{'C': 3.544646464646465, 'gamma': 0.05250717703349283}"
0.5500000000000003-1,"{'C': 0.7529080276448697, 'gamma': 0.02012918660287081}"
0.5500000000000003-2,"{'C': 0.18109516214779375, 'gamma': 0.06804306220095693}"
0.5500000000000003-3,"{'C': 4.485050505050506, 'gamma': 0.010502392344497607}"
0.5500000000000003-4,"{'C': 0.5254545454545455, 'gamma': 0.4342918660287081}"
0.5600000000000003-0,"{'C': 2.121924508240298, 'gamma': 0.038205741626794264}"
0.5600000000000003-1,"{'C': 0.2284848484848485, 'gamma': 0.10419617224880383}"
0.5600000000000003-2,"{'C': 0.30324295587453487, 'gamma': 0.040311004784689006}"
0.5600000000000003-3,"{'C': 1.1193939393939396, 'gamma': 0.09287081339712919}"
0.5600000000000003-4,"{'C': 0.1, 'gamma': 0.47000956937799043}"
0.5700000000000003-0,"{'C': 0.8518979266347688, 'gamma': 0.06426794258373206}"
0.5700000000000003-1,"{'C': 0.178989898989899, 'gamma': 0.11849760765550238}"
